age,income,credit_score,debt_amount,monthly_expenses,employment_years,loan_amount,existing_credits,interest_rate,payment_history,default
58.0,46553.48,639.0,34715.33,10000.0,1.6,27658.63,4.0,16.74,91.51,1.0
34.0,28717.52,693.0,18048.73,8016.57,2.5,10867.2,0.0,6.83,71.57,1.0
23.0,21885.61,675.0,11379.64,4460.91,8.7,27742.24,0.0,12.2,58.63,0.0
,27661.83,659.0,7735.1,10000.0,1.1,27083.06,6.0,10.19,100.0,0.0
25.0,36071.25,565.0,37338.17,9795.73,2.5,10403.3,2.0,8.02,82.95,0.0
36.0,52534.92,664.0,23265.28,10000.0,0.5,22801.56,3.0,10.62,95.86,0.0
35.0,43122.89,509.0,29861.26,9081.96,1.0,36116.76,5.0,15.09,93.97,0.0
51.0,23870.32,625.0,29968.95,9190.59,1.2,28143.41,4.0,8.68,62.06,1.0
52.0,54516.73,758.0,23919.85,10000.0,2.9,,0.0,13.08,100.0,1.0
49.0,,775.0,14296.18,9269.43,2.2,27009.93,6.0,12.28,50.19,0.0
33.0,32538.0,679.0,47168.41,7123.24,0.9,24982.43,4.0,14.75,84.93,0.0
51.0,27864.81,691.0,26456.16,10000.0,1.0,26723.38,7.0,10.82,58.05,1.0
37.0,42110.83,671.0,25076.7,10000.0,0.5,25793.55,5.0,10.97,67.97,1.0
42.0,33501.89,682.0,53292.79,10000.0,2.6,29255.54,0.0,6.24,79.6,1.0
43.0,37425.78,847.0,22114.59,10000.0,1.9,18313.22,0.0,15.43,91.28,0.0
23.0,53933.98,577.0,46041.91,10000.0,3.6,51904.56,2.0,9.03,71.51,1.0
40.0,38170.78,610.0,1740.05,10000.0,0.7,34735.92,4.0,9.24,100.0,0.0
25.0,24547.7,624.0,37202.76,9237.21,2.5,43071.43,3.0,7.18,82.77,1.0
24.0,,713.0,6445.74,10000.0,3.4,32969.85,1.0,12.75,85.2,1.0
31.0,25847.98,669.0,29396.09,6200.85,12.9,34738.33,2.0,8.43,89.85,1.0
30.0,22307.07,713.0,42378.93,5799.28,5.2,34127.81,7.0,14.47,100.0,0.0
30.0,32122.31,590.0,11657.28,10000.0,1.9,33411.52,6.0,12.83,92.41,1.0
72.0,36552.36,766.0,21030.15,10000.0,3.7,21428.42,3.0,8.79,87.24,0.0
39.0,32476.39,707.0,32098.56,7805.72,0.9,14851.53,3.0,10.66,,0.0
44.0,40418.66,550.0,27597.71,10000.0,0.8,31537.25,5.0,12.17,62.86,0.0
52.0,43429.48,695.0,41245.77,10000.0,0.5,20621.75,3.0,13.55,87.71,1.0
53.0,46982.19,850.0,33563.36,10000.0,5.2,36513.91,3.0,11.05,91.38,1.0
40.0,24676.02,631.0,17719.55,8693.76,20.2,11327.35,1.0,14.06,55.81,0.0
27.0,28682.26,737.0,25964.2,7959.37,1.0,36795.98,0.0,9.81,83.25,1.0
47.0,37152.48,598.0,57159.16,10000.0,0.3,31864.54,2.0,10.01,92.79,1.0
50.0,24434.21,641.0,32574.81,6511.29,0.6,26654.99,0.0,10.58,70.2,1.0
51.0,87792.13,682.0,6086.74,,16.7,40324.65,1.0,7.44,72.74,1.0
49.0,68422.4,593.0,31657.29,10000.0,0.8,29404.75,7.0,3.0,64.63,1.0
22.0,32007.19,550.0,49486.17,7732.02,1.3,31307.41,1.0,16.32,58.46,1.0
45.0,64963.57,651.0,10277.37,10000.0,2.4,23997.83,6.0,12.21,74.22,1.0
25.0,38436.34,703.0,48790.25,10000.0,16.9,10479.12,,11.54,,0.0
34.0,41793.49,600.0,21878.17,8764.77,1.1,38496.02,6.0,13.07,69.61,1.0
47.0,56942.65,675.0,37192.93,10000.0,0.9,24398.19,6.0,14.24,89.16,0.0
32.0,35937.95,659.0,44164.97,10000.0,3.5,27978.07,1.0,11.35,96.48,0.0
40.0,54869.24,715.0,44582.18,10000.0,4.0,26897.33,6.0,12.97,78.05,0.0
65.0,38120.14,698.0,12726.69,10000.0,0.7,17858.11,6.0,15.47,91.87,0.0
29.0,49615.57,700.0,24816.3,10000.0,2.2,23228.38,4.0,14.93,77.79,0.0
33.0,24034.64,624.0,31193.97,10000.0,0.9,32436.87,6.0,12.73,72.4,1.0
23.0,28695.08,669.0,3278.73,10000.0,1.0,27865.53,1.0,12.93,100.0,0.0
27.0,55760.99,637.0,24714.76,10000.0,2.0,27113.41,4.0,12.97,67.59,0.0
44.0,47083.28,773.0,23368.6,9506.23,4.0,25987.8,0.0,12.67,80.19,0.0
45.0,38133.1,588.0,25367.65,10000.0,8.5,39592.71,5.0,18.46,68.49,0.0
30.0,56171.25,665.0,57847.04,10000.0,0.9,24006.07,5.0,5.63,72.11,1.0
62.0,24845.54,,30126.34,9846.62,5.2,24230.96,3.0,9.3,87.38,1.0
34.0,20000.0,797.0,42691.6,9243.14,,43538.72,7.0,11.66,98.57,1.0
